loss,accuracy,val_accuracy
0.6951370239257812,0.0,0.0
0.4735904633998871,0.0,0.0
0.0672016367316246,0.0,0.0
0.0196997206658124,0.0,0.0
0.0081170629709959,0.0,0.0
0.0042852070182561,0.0,0.0
0.0026163887232542,0.0,0.0
0.0017356434836983,0.0,0.0
0.0012210697168484,0.0,0.0
0.0009014646057039,0.04,0.0
0.0006936377030797,0.04,0.0
0.0005523353465832,0.08,0.0
0.0004524375835899,0.08,0.0
0.0003791555645875,0.16,0.0
0.0003238570643588,0.16,0.0
0.0002810174482874,0.16,0.0
0.0002473693166393,0.16,0.04
0.0002201778406742,0.2,0.12
0.0001977661449927,0.24,0.16
0.000179367212695,0.24,0.2
0.0001636895176488,0.24,0.28
0.0001504520623711,0.32,0.28
0.0001391497062286,0.28,0.36
0.0001293487293878,0.32,0.36
0.0001208441972266,0.44,0.36
0.0001133740588556,0.44,0.48
0.0001067761986632,0.44,0.48
0.0001009553016046,0.52,0.56
9.586375381331892e-05,0.52,0.56
9.122506889980286e-05,0.52,0.64
8.704400534043089e-05,0.56,0.68
8.333965524798259e-05,0.56,0.68
7.992133760126308e-05,0.56,0.68
7.686531898798421e-05,0.56,0.72
7.40524337743409e-05,0.56,0.72
7.152558100642636e-05,0.56,0.72
6.920372834429145e-05,0.56,0.72
6.706779822707176e-05,0.56,0.76
6.51321024633944e-05,0.56,0.76
6.331559416139498e-05,0.56,0.76
6.167548417579383e-05,0.56,0.8
6.013071470079012e-05,0.56,0.8
5.865270213689655e-05,0.56,0.8
5.738445906899869e-05,0.56,0.8
5.617819624603726e-05,0.56,0.8
5.4981464927550405e-05,0.56,0.88
5.39134671271313e-05,0.56,0.88
5.29217541043181e-05,0.56,0.88
5.196817801333964e-05,0.56,0.92
5.1095652452204376e-05,0.56,0.92
