loss,accuracy,val_accuracy
0.907739281654358,0.0,0.0
1.1129897832870483,0.0,0.0
2.045043468475342,0.0,0.0
1.2140008211135864,0.0,0.0
0.4993953704833984,0.0,0.0
0.5917829275131226,0.0,0.0
0.4390443563461303,0.0,0.0
0.426664799451828,0.0,0.0
0.3500675857067108,0.0,0.0
0.2977037727832794,0.0,0.0
0.2480600178241729,0.0,0.0
0.1755210757255554,0.0,0.0
0.1374800503253936,0.0,0.0
0.0984122827649116,0.0,0.0
0.0840756520628929,0.0,0.04
0.0609240904450416,0.12,0.04
0.0503733046352863,0.12,0.04
0.0256045572459697,0.24,0.08
0.0184629578143358,0.16,0.16
0.0087557099759578,0.16,0.16
0.0050231837667524,0.16,0.2
0.004157826770097,0.16,0.08
0.0032261335290968,0.16,0.16
0.0020257064606994,0.28,0.16
0.0011654241243377,0.28,0.2
0.0007088769925758,0.36,0.24
0.0004923726664856,0.4,0.32
0.0004068942507728,0.4,0.36
0.0003871530934702,0.44,0.4
0.0004066728288307,0.44,0.4
0.0004360575112514,0.48,0.4
0.0004556731146294,0.52,0.4
0.0004515341715887,0.52,0.4
0.0004244568990543,0.56,0.36
0.0003719215746968,0.56,0.32
0.0003169731062371,0.56,0.36
0.0002598220598883,0.56,0.32
0.0002107631444232,0.56,0.32
0.0001705621398286,0.56,0.24
0.0001393378042848,0.56,0.24
0.0001146281138062,0.56,0.24
9.522795880911872e-05,0.56,0.24
7.975386688485742e-05,0.56,0.24
6.791770283598453e-05,0.56,0.24
5.909648825763725e-05,0.56,0.2
5.18235465278849e-05,0.56,0.2
4.642313797376119e-05,0.56,0.2
4.172795524937101e-05,0.56,0.2
3.8066922570578754e-05,0.56,0.2
3.504929190967232e-05,0.56,0.16
3.2522617402719334e-05,0.56,0.16
3.047740028705448e-05,0.56,0.16
2.8837373974965885e-05,0.6,0.16
2.7378486265661195e-05,0.6,0.2
2.594341458461713e-05,0.6,0.2
2.4894512534956448e-05,0.64,0.2
2.391711859672796e-05,0.64,0.2
2.3154265363700688e-05,0.64,0.2
2.2334188543027267e-05,0.64,0.2
2.1771576939499937e-05,0.64,0.2
2.1175590518396348e-05,0.64,0.2
2.0694023987744004e-05,0.68,0.2
2.0169547497062013e-05,0.68,0.2
1.9702281861100342e-05,0.68,0.2
1.9311304640723392e-05,0.68,0.2
1.9053830328630283e-05,0.68,0.2
1.867715764092281e-05,0.68,0.2
1.839584365370684e-05,0.68,0.2
1.817651354940608e-05,0.68,0.2
1.7890431990963407e-05,0.68,0.2
1.768063521012664e-05,0.68,0.2
1.7466074496041983e-05,0.68,0.2
1.731349402689375e-05,0.68,0.2
1.7075089999707416e-05,0.68,0.2
1.6879597751540132e-05,0.68,0.2
1.66411955433432e-05,0.68,0.2
1.654106381465681e-05,0.68,0.2
1.6312194929923862e-05,0.68,0.2
1.616915142221842e-05,0.68,0.2
1.6064253941294737e-05,0.68,0.2
1.5940282537485473e-05,0.68,0.2
1.5797237210790627e-05,0.68,0.2
1.560651435283944e-05,0.68,0.2
1.5511152014369145e-05,0.68,0.2
1.5353803973994218e-05,0.68,0.2
1.5253672245307826e-05,0.68,0.2
1.5167845049290918e-05,0.68,0.2
1.504864303569775e-05,0.68,0.2
1.4962815839680845e-05,0.68,0.2
1.4862685929983854e-05,0.68,0.2
1.4743481187906582e-05,0.68,0.2
1.4652887330157682e-05,0.68,0.2
1.4633814316766802e-05,0.68,0.2
1.45432186400285e-05,0.68,0.2
1.4404943613044452e-05,0.68,0.2
1.433342185919173e-05,0.68,0.2
1.421421802660916e-05,0.68,0.2
1.4128391740086954e-05,0.68,0.2
1.4047331205802038e-05,0.68,0.2
1.3985346413392108e-05,0.68,0.2
1.3913824659539388e-05,0.68,0.2
1.382799837301718e-05,0.68,0.2
1.3785084775008729e-05,0.68,0.2
1.3684953046322336e-05,0.68,0.2
1.3618197954201603e-05,0.68,0.2
1.3546676200348884e-05,0.68,0.2
1.3489458069670944e-05,0.68,0.2
1.3403630873654038e-05,0.68,0.2
1.3351181223697496e-05,0.68,0.2
1.3270123417896684e-05,0.68,0.2
1.3174759260436986e-05,0.68,0.2
1.3131846571923234e-05,0.68,0.2
1.3084163583698682e-05,0.68,0.2
1.3007872439629864e-05,0.68,0.2
1.2941117347509136e-05,0.68,0.2
1.2869594684161711e-05,0.68,0.2
1.283621895709075e-05,0.68,0.2
1.2755158422805836e-05,0.68,0.2
1.2717013305518776e-05,0.68,0.2
1.2635955499717966e-05,0.68,0.2
1.258350403077202e-05,0.68,0.2
1.2516749848145992e-05,0.68,0.2
1.2488140782807022e-05,0.68,0.2
1.2430922652129084e-05,0.68,0.2
1.236893604072975e-05,0.68,0.2
1.2297412467887623e-05,0.68,0.2
1.2221122233313508e-05,0.68,0.2
1.2178209544799756e-05,0.68,0.2
1.2140064427512698e-05,0.68,0.2
1.2092382348782849e-05,0.68,0.2
1.2054235412506388e-05,0.68,0.2
1.1982711839664262e-05,0.68,0.2
1.1935031579923816e-05,0.68,0.2
1.187304405902978e-05,0.68,0.2
1.1815826837846544e-05,0.68,0.2
1.179675200546626e-05,0.68,0.2
1.1772911420848686e-05,0.68,0.2
1.1672778782667592e-05,0.68,0.2
1.1644169717328625e-05,0.68,0.2
1.1601256119320167e-05,0.68,0.2
1.15726470539812e-05,0.68,0.2
1.154403798864223e-05,0.68,0.2
1.1491588338685688e-05,0.68,0.2
1.1462977454357317e-05,0.68,0.2
1.1410527804400772e-05,0.68,0.2
1.1343773621774744e-05,0.68,0.2
1.1319932127662469e-05,0.68,0.2
1.1277019439148717e-05,0.68,0.2
1.126271399698453e-05,0.68,0.2
1.1210263437533284e-05,0.68,0.2
1.116734893003013e-05,0.68,0.2
1.1095827176177409e-05,0.68,0.2
1.1071986591559836e-05,0.68,0.2
1.1024303603335284e-05,0.68,0.2
1.0976622434100136e-05,0.68,0.2
