loss,accuracy,val_accuracy
0.8097137212753296,1.0,1.0
0.3917765915393829,0.96,0.96
0.2252718359231948,0.88,1.0
0.1444654017686844,0.84,0.8
0.0971467941999435,0.8,0.8
0.0668447464704513,0.68,0.8
0.0469499714672565,0.64,0.6
0.0338602550327777,0.72,0.48
0.0252295304089784,0.44,0.6
0.0194711834192276,0.44,0.32
0.0155162550508975,0.52,0.28
0.0126922037452459,0.44,0.4
0.0105842873454093,0.64,0.28
0.0089510418474674,0.44,0.36
0.0076505155302584,0.4,0.32
0.006596780847758,0.36,0.44
0.0057320678606629,0.4,0.36
0.0050173546187579,0.36,0.24
0.0044252406805753,0.32,0.12
0.0039304024539887,0.44,0.24
0.00351481908001,0.24,0.12
0.0031658201478421,0.28,0.4
0.0028689608443528,0.4,0.32
0.0026161014102399,0.52,0.4
0.0023985365405678,0.28,0.24
0.002210846170783,0.28,0.32
0.0020484400447458,0.32,0.24
0.0019062990322709,0.32,0.24
0.0017813539598137,0.28,0.12
0.0016712414799258,0.28,0.24
0.0015735684428364,0.24,0.36
0.0014866678975522,0.2,0.28
0.0014091432094573,0.32,0.16
0.0013392966939136,0.24,0.2
0.0012768063461408,0.24,0.32
0.0012202737852931,0.16,0.36
0.0011688523227348,0.24,0.24
0.001122209476307,0.24,0.24
0.0010798410512506,0.32,0.24
0.0010408000089228,0.4,0.2
0.001005191472359,0.04,0.36
0.0009723631083033,0.24,0.32
0.0009423534502275,0.24,0.36
0.0009145198273472,0.2,0.2
0.0008887292351573,0.24,0.12
0.0008646908681839,0.28,0.32
0.0008426239946857,0.2,0.24
0.0008218477014452,0.24,0.24
0.0008022428955882,0.28,0.2
0.0007842574268579483,0.44,0.2
