loss,accuracy,val_accuracy
0.8246411085128784,0.0,0.0
0.5368358492851257,0.0,0.0
0.2422284483909607,0.0,0.0
0.1225208342075347,0.0,0.0
0.069689080119133,0.0,0.0
0.0429464466869831,0.0,0.0
0.0284629352390766,0.0,0.0
0.0202382132411003,0.0,0.0
0.0153327025473117,0.0,0.0
0.0122013520449399,0.0,0.0
0.0100493058562278,0.0,0.0
0.0084887258708477,0.0,0.0
0.0073043466545641,0.04,0.0
0.0063798082992434,0.04,0.0
0.0056377579458057,0.04,0.0
0.0050365542992949,0.04,0.0
0.0045448406599462,0.04,0.0
0.0041353502310812,0.08,0.0
0.0037932160776108,0.08,0.0
0.0035054564941674,0.12,0.04
0.003262439975515,0.16,0.04
0.0030546304769814,0.24,0.08
0.0028736614622175,0.4,0.12
0.0027168211527168,0.4,0.16
0.0025793279055505,0.4,0.2
0.0024568701628595,0.4,0.2
0.002347788773477,0.48,0.28
0.0022490047849714,0.48,0.32
0.0021601587068289,0.52,0.32
0.0020773760043084,0.56,0.32
0.0020025917328894,0.56,0.32
0.0019323639571666,0.56,0.32
0.0018679061904549,0.56,0.4
0.0018075982807204,0.56,0.4
0.0017521500121802,0.56,0.4
0.0016998498467728,0.56,0.4
0.0016509359702467,0.56,0.4
0.0016044687945395,0.56,0.4
0.0015615654410794,0.56,0.4
0.0015210374258458,0.56,0.4
0.0014834468020126,0.56,0.4
0.0014480656245723,0.56,0.4
0.0014145005261525,0.56,0.4
0.0013828219380229,0.56,0.4
0.0013526980765163,0.56,0.4
0.001324305543676,0.56,0.44
0.0012971382820978,0.56,0.52
0.0012713562464341,0.56,0.52
0.00124722358305,0.56,0.52
0.0012243379605934024,0.56,0.52
